Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,20,2,10,32,32,2816,0.0507525,0.0091337434387207,0.01442525,0.0743114934387207,0.0118385,3.134298237548828,638.1013702014828,196.94062885850877,194.0206185493412,1.0
Llama2-13B,20,2,10,32,32,2944,0.051835,0.0091337434387207,0.0149752499999999,0.0759439934387207,0.0118385,3.199598237548828,625.0784790818534,197.41743465481045,190.42870131649505,1.0
Llama2-13B,20,2,10,32,32,3072,0.05295,0.0091337434387207,0.01552525,0.0776089934387207,0.0118385,3.266198237548828,612.3327044291509,197.8945904299628,186.8693016335816,1.0
Llama2-13B,20,2,10,32,32,3200,0.0554705,0.0091337434387207,0.01607525,0.0806794934387207,0.0118385,3.389018237548828,590.1414096391933,199.60284430765,179.91801435686543,1.0
Llama2-13B,20,2,10,32,32,3328,0.0565905,0.0091337434387207,0.0166252499999999,0.0823494934387207,0.0118385,3.455818237548828,578.7341412430815,200.0800458734525,176.77882849016402,1.0
Llama2-13B,20,2,10,32,32,3456,0.057673,0.0091337434387207,0.01717525,0.0839819934387207,0.0118385,3.521118237548828,568.0013748678514,200.55685166975425,173.87412798862047,1.0
Llama2-13B,20,2,10,32,32,3584,0.058788,0.0091337434387207,0.01772525,0.0856469934387207,0.0118385,3.5877182375488283,557.4573775242795,201.03400744490665,170.9821795646276,1.0
Llama2-13B,20,2,10,32,32,3712,0.0599505,0.0091337434387207,0.01827525,0.0873594934387207,0.0118385,3.656218237548829,547.013299003952,201.51169812485992,168.06506878579822,1.0
Llama2-13B,20,2,10,32,32,3840,0.0610705,0.0091337434387207,0.01882525,0.0890294934387207,0.0118385,3.723018237548828,537.1985503129756,201.98889969066244,165.37354343804492,1.0
Llama2-13B,20,2,10,32,32,3968,0.062153,0.0091337434387207,0.01937525,0.0906619934387207,0.0118385,3.788318237548828,527.9387513373398,202.4657054869641,162.87685669795832,1.0
Llama2-13B,20,2,10,32,32,4096,0.063268,0.0091337434387207,0.01992525,0.0923269934387207,0.0118385,3.854918237548828,518.8177483296537,202.94286126211648,160.38349660343016,1.0
Llama2-13B,20,4,5,32,32,128,0.0319465,0.0085462119402204,0.00287525,0.0433679619402204,0.0189515,1.9036699776088173,2101.2045402031104,155.66051508455638,487.2537369807534,1.0
Llama2-13B,20,4,5,32,32,256,0.0330665,0.0085462119402204,0.00342525,0.0450379619402204,0.0189515,1.9704699776088168,2029.972567688667,156.13264880667978,472.1777291418198,1.0
Llama2-13B,20,4,5,32,32,384,0.034149,0.0085462119402204,0.00397525,0.0466704619402204,0.0189515,2.035769977608817,1964.8585272381,156.60438675930249,458.5914280339175,1.0
Llama2-13B,20,4,5,32,32,512,0.035264,0.0085462119402204,0.00452525,0.0483354619402204,0.0189515,2.102369977608817,1902.614688471484,157.0764746907759,445.4301119860931,1.0
Llama2-13B,20,4,5,32,32,640,0.0364265,0.0085462119402204,0.00507525,0.0500479619402204,0.0189515,2.170869977608817,1842.579261428611,157.54909752705024,432.5123125390862,1.0
Llama2-13B,20,4,5,32,32,768,0.0375465,0.0085462119402204,0.00562525,0.0517179619402204,0.0189515,2.237669977608817,1787.573699439993,158.02123124917375,420.86807358654926,1.0
Llama2-13B,20,4,5,32,32,896,0.038629,0.0085462119402204,0.00617525,0.0533504619402204,0.0189515,2.302969977608817,1736.8876011806356,158.4929692017964,410.2952942136643,1.0
Llama2-13B,20,4,5,32,32,1024,0.039744,0.0085462119402204,0.00672525,0.0550154619402204,0.0189515,2.3695699776088173,1688.0700033330452,158.9650571332697,399.9724666195394,1.0
Llama2-13B,20,4,5,32,32,1152,0.0422965,0.0085462119402204,0.00727525,0.0581179619402204,0.0189515,2.493669977608817,1604.061498079872,160.74932934881926,380.0535017053877,1.0
Llama2-13B,20,4,5,32,32,1280,0.0434165,0.0085462119402204,0.00782525,0.0597879619402204,0.0189515,2.560469977608817,1562.2132010840985,161.22146307094266,371.3368490572541,1.0
Llama2-13B,20,4,5,32,32,1408,0.044499,0.0085462119402204,0.0083752499999999,0.0614204619402204,0.0189515,2.625769977608817,1523.362683749869,161.69320102356534,363.3636733939311,1.0
Llama2-13B,20,4,5,32,32,1536,0.045614,0.0085462119402204,0.00892525,0.0630854619402204,0.0189515,2.692369977608817,1485.67991519224,162.16528895503873,355.51648387564944,1.0
Llama2-13B,20,4,5,32,32,1664,0.0467765,0.0085462119402204,0.00947525,0.0647979619402204,0.0189515,2.760869977608817,1448.818681227571,162.63791179131306,347.6914942146444,1.0
Llama2-13B,20,4,5,32,32,1792,0.0478965,0.0085462119402204,0.01002525,0.0664679619402204,0.0189515,2.8276699776088168,1414.5922373100093,163.11004551343655,340.54689907078097,1.0
Llama2-13B,20,4,5,32,32,1920,0.048979,0.0085462119402204,0.0105752499999999,0.0681004619402204,0.0189515,2.8929699776088165,1382.662119192194,163.58178346605925,333.9835102106194,1.0
Llama2-13B,20,4,5,32,32,2048,0.050094,0.0085462119402204,0.01112525,0.0697654619402204,0.0189515,2.959569977608817,1351.5477012751014,164.05387139753262,327.4920577265394,1.0
Llama2-13B,20,4,5,32,32,2176,0.0526145,0.0085462119402204,0.0116752499999999,0.0728359619402204,0.0189515,3.0823899776088166,1297.6943310408196,165.75705743154077,315.0406398075452,1.0
Llama2-13B,20,4,5,32,32,2304,0.0537345,0.0085462119402204,0.01222525,0.0745059619402204,0.0189515,3.1491899776088164,1270.167893471198,166.22919115366432,309.35282016891244,1.0
Llama2-13B,20,4,5,32,32,2432,0.054817,0.0085462119402204,0.0127752499999999,0.0761384619402204,0.0189515,3.214489977608817,1244.3653667806752,166.70092910628694,304.10443677378726,1.0
Llama2-13B,20,4,5,32,32,2560,0.055932,0.0085462119402204,0.01332525,0.0778034619402204,0.0189515,3.2810899776088167,1219.107073349786,167.17301703776025,298.88617792633977,1.0
Llama2-13B,20,4,5,32,32,2688,0.0593545,0.0085462119402204,0.0138752499999999,0.0817759619402204,0.0189515,3.4399899776088163,1162.7940854584856,169.4569953933518,285.4998279715132,1.0
Llama2-13B,20,4,5,32,32,2816,0.0604745,0.0085462119402204,0.01442525,0.0834459619402204,0.0189515,3.506789977608817,1140.6443002119818,169.92912911547518,280.99302865749246,1.0
Llama2-13B,20,4,5,32,32,2944,0.061557,0.0085462119402204,0.0149752499999999,0.0850784619402204,0.0189515,3.5720899776088166,1119.7926214270867,170.4008670680979,276.8180175578697,1.0
Llama2-13B,20,4,5,32,32,3072,0.062672,0.0085462119402204,0.01552525,0.0867434619402204,0.0189515,3.638689977608817,1099.296731684907,170.87295499957125,272.6464050924993,1.0
Llama2-13B,20,4,5,32,32,3200,0.0651925,0.0085462119402204,0.01607525,0.0898139619402204,0.0189515,3.761509977608817,1063.4027355532342,172.57614103357943,264.7177835388725,1.0
